GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-coverage/rms-test,io.extact.rms.test.junit5,JpaTransactionalExtension.CloseableWrapper,0,42,2,6,0,16,2,6,0,4
rms-coverage/rms-test,io.extact.rms.test.junit5,JulToSLF4DelegateExtension,0,9,0,0,0,6,0,3,0,3
rms-coverage/rms-test,io.extact.rms.test.junit5,JpaTransactionalExtension,9,214,4,8,2,43,4,18,0,16
rms-coverage/rms-test,io.extact.rms.test.assertj,ToStringAssert.ObjectToStringComparisonAssert,0,10,0,0,0,3,0,1,0,1
rms-coverage/rms-test,io.extact.rms.test.assertj,ConstraintViolationSetAssert,160,88,6,4,25,20,10,11,5,11
rms-coverage/rms-test,io.extact.rms.test.assertj,ToStringAssert.new StandardComparisonStrategy() {...},2,18,2,4,1,5,2,3,0,2
rms-coverage/rms-test,io.extact.rms.test.assertj,ToStringAssert.ListToStringComparisonAssert,0,8,0,0,0,3,0,1,0,1
rms-coverage/rms-test,io.extact.rms.test.assertj,ToStringAssert,3,15,0,0,1,3,1,3,1,3
rms-coverage/rms-platform,io.extact.rms.platform.jwt.impl.jose4j,KeyCreators,3,10,0,0,1,2,1,2,1,2
rms-coverage/rms-platform,io.extact.rms.platform.jwt.impl.jose4j,Jose4jJwtGenerator,6,82,0,2,2,21,0,4,0,3
rms-coverage/rms-platform,io.extact.rms.platform.jwt.impl.jose4j,Jose4jCallerPrincipal,7,21,0,0,1,5,1,3,1,3
rms-coverage/rms-platform,io.extact.rms.platform.jwt.impl.jose4j,Jose4PrivateSecretedTokenValidator,0,60,0,0,0,21,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jwt,JwtSecurityFilterFeature,0,13,0,0,0,4,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jwt,JwtConfig,0,72,0,2,0,12,0,11,0,10
rms-coverage/rms-platform,io.extact.rms.platform.jwt,JwtValidateException,0,4,0,0,0,2,0,1,0,1
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,ParamRmsConverterProvider.LocalDateConverter,2,29,2,4,1,4,2,4,0,3
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,LocalDateTimeSerializers.LocalDateTimeSerializer,0,15,0,0,0,3,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,RmsTypeParameterFeature,0,13,0,0,0,4,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,LocalDateTimeSerializers,0,16,0,0,0,5,0,3,0,3
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,JsonbRmsConfig,0,42,0,0,0,9,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,ParamRmsConverterProvider,0,35,0,4,0,9,0,4,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,ParamRmsConverterProvider.LocalDateTimeConverter,0,31,1,5,0,5,1,5,0,3
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.converter,LocalDateTimeSerializers.LocaDateTimeDeserializer,0,15,0,0,0,3,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.mapper,PageNotFoundExceptionMapper.Unhandle404,0,20,0,0,0,4,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.mapper,PageNotFoundExceptionMapper,0,36,1,1,0,7,1,3,0,3
rms-coverage/rms-platform,io.extact.rms.platform.jaxrs.mapper,UnhandledExceptionMapper,18,7,2,0,5,2,2,2,1,2
rms-coverage/rms-platform,io.extact.rms.platform.jwt.provider,JwtProvideResponseFilter,11,64,2,4,4,18,2,4,0,3
rms-coverage/rms-platform,io.extact.rms.platform.jwt.consumer,JwtValidateRequestFilter,18,79,0,6,4,23,0,7,0,4
rms-coverage/rms-platform,io.extact.rms.platform.jwt.consumer,JwtSecurityContext,7,21,0,0,2,7,2,3,2,3
rms-coverage/rms-platform,io.extact.rms.platform.role,DenyAllRequestFilter,0,19,0,0,0,5,0,3,0,3
rms-coverage/rms-platform,io.extact.rms.platform.role,RolesAllowedRequestFilter,0,60,0,4,0,14,0,5,0,3
rms-coverage/rms-platform,io.extact.rms.platform.role,RoleSecurityDynamicFeature,0,82,0,10,0,24,0,9,0,4
rms-coverage/rms-platform,io.extact.rms.platform.debug.ext,SessionLogBridge,8,24,3,3,4,11,3,6,0,4
rms-coverage/rms-platform,io.extact.rms.platform.env,Environment,4,16,2,2,1,6,3,2,1,2
rms-coverage/rms-platform,io.extact.rms.platform.env,MainJarInfo,0,62,0,2,0,19,0,10,0,9
rms-coverage/rms-platform,io.extact.rms.platform.env,MainJarInfo.FindJarMatcher,0,14,0,0,0,4,0,2,0,2
rms-coverage/rms-platform,io.extact.rms.platform.env,MainJarInfo.MainJarInfoBuilder,12,179,0,10,4,41,0,12,0,7
rms-coverage/rms-platform,io.extact.rms.platform.validate,ValidateParamInterceptor,0,66,0,8,0,17,0,6,0,2
rms-coverage/rms-platform,io.extact.rms.platform.validate,ValidateParamInterceptor.InnerValidatorImpl,31,20,0,0,5,7,5,3,5,3
rms-coverage/rms-platform,io.extact.rms.platform.config,ResourcePathUnderConfigProvider,6,39,0,0,2,9,0,6,0,6
rms-coverage/rms-platform,io.extact.rms.platform.config,ExternalPathConfigProvider,0,23,0,4,0,8,0,4,0,2
rms-coverage/rms-platform,io.extact.rms.platform.config,MpConfigFactory,0,20,0,0,0,4,0,1,0,1
rms-coverage/rms-platform,io.extact.rms.platform.config.helidon,HelidonMpConfigFactory,6,69,1,11,1,19,1,9,0,4
rms-coverage/rms-platform,io.extact.rms.platform.health,MemoryEvaluateResource,0,21,0,0,0,5,0,3,0,3
rms-coverage/rms-platform,io.extact.rms.platform.health,MemoryHealthCheck.EvaluateHolder,0,25,0,0,0,8,0,4,0,4
rms-coverage/rms-platform,io.extact.rms.platform.health,MemoryHealthCheck.MemoryUsageFunction,0,8,0,0,0,1,0,1,0,1
rms-coverage/rms-platform,io.extact.rms.platform.health,MemoryHealthCheck.MemoryLivenessEvaluator,2,59,2,4,0,7,2,5,0,4
rms-coverage/rms-platform,io.extact.rms.platform.health,MemoryHealthCheck,0,87,0,0,0,23,0,7,0,7
rms-coverage/rms-platform,io.extact.rms.platform.debug,MpConfigDump,0,92,1,3,0,20,1,7,0,6
rms-coverage/rms-platform,io.extact.rms.platform.debug,MpConfigDump.ContainsForwardMatch,0,24,1,3,0,4,1,3,0,2
rms-coverage/rms-platform,io.extact.rms.platform.debug,ServerHeaderDumpFilter,0,88,2,2,0,18,2,6,0,6
rms-coverage/rms-platform,io.extact.rms.platform.debug,DebugSleepInterceptor,13,35,1,1,3,7,1,3,0,3
rms-coverage/rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBean,0,12,0,0,0,4,0,4,0,4
rms-coverage/rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeansListBinder,0,21,0,0,0,6,0,3,0,3
rms-coverage/rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.AliasKey,0,9,0,0,0,4,0,1,0,1
rms-coverage/rms-platform,io.extact.rms.platform.extension,ApplicationInitializerCdiExtension,0,86,0,4,0,21,0,7,0,5
rms-coverage/rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeansListBindFinisher,0,136,0,8,0,25,0,8,0,4
rms-coverage/rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeanBindFinisher,0,144,0,4,0,19,0,8,0,6
rms-coverage/rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder,0,99,0,0,0,19,0,11,0,11
rms-coverage/rms-platform,io.extact.rms.platform.util,ResourceUtils.TargetFileCollector,0,22,0,2,0,7,0,3,0,2
rms-coverage/rms-platform,io.extact.rms.platform.util,ResourceUtils,27,209,1,11,9,49,2,18,1,13
rms-coverage/rms-client-api,io.extact.rms.client.api.login,LoggedInEvent,9,0,0,0,2,0,2,0,2,0
rms-coverage/rms-client-api,io.extact.rms.client.api.login,JsonWebTokenConsumeEvent,0,9,0,0,0,4,0,2,0,2
rms-coverage/rms-client-api,io.extact.rms.client.api.dto,Convertable,0,4,0,0,0,1,0,1,0,1
rms-coverage/rms-client-api,io.extact.rms.client.api.dto,UserAccountClientDto.ClientUserType,11,34,0,0,5,6,2,2,2,2
rms-coverage/rms-client-api,io.extact.rms.client.api.dto,UserAccountClientDto,0,105,0,0,0,13,0,20,0,20
rms-coverage/rms-client-api,io.extact.rms.client.api.dto,RentalItemClientDto,0,52,0,0,0,8,0,11,0,11
rms-coverage/rms-client-api,io.extact.rms.client.api.dto,ReservationClientDto,0,112,0,0,0,13,0,21,0,21
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,RentalReservationClientException,0,10,0,0,0,4,0,2,0,2
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,RmsSystemClientException,8,0,0,0,4,0,2,0,2,0
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,ValidateClientException.ValidationErrorItem,0,17,0,0,0,7,0,5,0,5
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,ValidateClientException.ValidationErrorMessage,6,18,0,0,2,8,2,5,2,5
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,BusinessFlowClientException,0,8,0,0,0,4,0,2,0,2
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,UnknownClientException,8,0,0,0,4,0,2,0,2,0
rms-coverage/rms-client-api,io.extact.rms.client.api.exception,ValidateClientException,0,30,0,0,0,7,0,3,0,3
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local,BindLoginUserInterceptor,0,44,1,3,0,12,1,5,0,4
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local,RentalReservationClientLocalApi,0,117,0,0,0,25,0,12,0,12
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local,LocalExceptionHandler,18,11,2,2,4,3,4,1,2,1
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local,LocalExceptionInterceptor,6,12,0,0,3,6,0,2,0,2
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local.dto,DtoConverter,4,0,0,0,1,0,1,0,1,0
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local.dto,ReservationDtoConverter,17,94,4,4,5,28,5,2,1,2
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local.dto,UserAccountDtoConverter,3,72,0,0,1,18,1,2,1,2
rms-coverage/rms-client-api-local,io.extact.rms.client.api.adaptor.local.dto,RentalItemDtoConverter,3,36,0,0,1,10,1,2,1,2
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.dto,AddRentalItemRequestDto,0,17,0,0,0,6,0,3,0,3
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.dto,AddReservationRequestDto,0,38,0,0,0,12,0,6,0,6
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.dto,AddUserAccountRequestDto,0,45,0,0,0,14,0,7,0,7
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote,RentalReservationClientRemoteApi,0,88,0,0,0,19,0,12,0,12
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.auth,SecurityConstraintClientException,2,19,1,2,1,7,1,4,0,3
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.auth,JwtConsumeResponseFilter,0,29,0,2,0,6,0,3,0,2
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.auth,JwtClientHeadersFactory,0,37,0,2,0,10,0,5,0,4
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.auth,JwtConsumeEventNotifyDelegator,0,8,0,0,0,3,0,2,0,2
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.rest,ClientExceptionMapper,0,96,0,8,0,22,0,11,0,7
rms-coverage/rms-client-api-remote,io.extact.rms.client.api.adaptor.remote.rest,ClientExceptionMapper.new GenericType() {...},0,6,0,0,0,1,0,1,0,1
rms-coverage/rms-application,io.extact.rms.application.common,LoginUserUtils.new InheritableThreadLocal() {...},2,3,0,0,1,1,1,1,1,1
rms-coverage/rms-application,io.extact.rms.application.common,LoginUserUtils,3,16,0,0,1,6,1,4,1,4
rms-coverage/rms-application,io.extact.rms.application.common,ServiceLoginUser,3,25,0,0,1,3,1,4,1,4
rms-coverage/rms-application,io.extact.rms.application.persistence,GenericRepository.ApiType,3,0,0,0,1,0,1,0,1,0
rms-coverage/rms-application,io.extact.rms.application.exception,BusinessFlowException.CauseType,0,44,0,0,0,5,0,1,0,1
rms-coverage/rms-application,io.extact.rms.application.exception,RentalReservationServiceException,11,4,0,0,4,2,2,1,2,1
rms-coverage/rms-application,io.extact.rms.application.exception,RmsSystemException,13,0,0,0,6,0,3,0,3,0
rms-coverage/rms-application,io.extact.rms.application.exception,BusinessFlowException,15,10,0,0,6,4,2,2,2,2
rms-coverage/rms-application,io.extact.rms.application.persistence.file.converter,UserAccountArrayConverter,0,90,0,0,0,19,0,4,0,4
rms-coverage/rms-application,io.extact.rms.application.persistence.file.converter,ReservationArrayConverter,0,93,0,0,0,18,0,4,0,4
rms-coverage/rms-application,io.extact.rms.application.persistence.file.converter,RentalItemArrayConverter,0,48,0,0,0,11,0,4,0,4
rms-coverage/rms-application,io.extact.rms.application.domain,UserAccount.UserType,3,34,0,0,1,6,1,2,1,2
rms-coverage/rms-application,io.extact.rms.application.domain,Reservation,0,111,0,0,0,25,0,21,0,21
rms-coverage/rms-application,io.extact.rms.application.domain,RentalItem,0,52,0,0,0,8,0,11,0,11
rms-coverage/rms-application,io.extact.rms.application.domain,UserAccount,0,116,0,4,0,15,0,23,0,21
rms-coverage/rms-application,io.extact.rms.application.domain,Reservation.DateTimePeriod,0,26,0,0,0,7,0,4,0,4
rms-coverage/rms-application,io.extact.rms.application.domain,Transformable,0,4,0,0,0,1,0,1,0,1
rms-coverage/rms-application,io.extact.rms.application.persistence.file.io,FileAccessor,6,164,1,3,2,30,1,11,0,10
rms-coverage/rms-application,io.extact.rms.application.persistence.file.io,PathResolver.FixedDirPathResolver,0,23,0,0,0,6,0,3,0,3
rms-coverage/rms-application,io.extact.rms.application.persistence.file.io,PathResolver.TempDirPathResolver,6,27,0,0,2,9,0,3,0,3
rms-coverage/rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator,1,134,1,7,1,29,1,10,0,7
rms-coverage/rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator.RecursiveCopyCommand.RecursiveCopyCommandFinsher,6,27,0,0,2,7,0,2,0,2
rms-coverage/rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator.RecursiveCopyCommand,0,17,0,0,0,5,0,2,0,2
rms-coverage/rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator.RecursiveCopyCommand.RecursiveCopyCommandFinsher.new SimpleFileVisitor() {...},0,48,0,0,0,5,0,3,0,3
rms-coverage/rms-application,io.extact.rms.application.service,RentalItemService,0,36,0,2,0,9,0,5,0,4
rms-coverage/rms-application,io.extact.rms.application.service,UserAccountService,0,44,0,2,0,11,0,6,0,5
rms-coverage/rms-application,io.extact.rms.application.service,ReservationService,0,127,0,10,0,29,0,16,0,11
rms-coverage/rms-application,io.extact.rms.application.service,GenericService,0,45,0,4,0,11,0,6,0,4
rms-coverage/rms-application,io.extact.rms.application.persistence.file,IoSystemException,9,0,0,0,4,0,2,0,2,0
rms-coverage/rms-application,io.extact.rms.application.persistence.file,ReservationFileRepository,0,157,0,8,0,27,0,17,0,13
rms-coverage/rms-application,io.extact.rms.application.persistence.file,FileRepositoryInitializeProducers,6,89,1,2,1,18,1,7,0,6
rms-coverage/rms-application,io.extact.rms.application.persistence.file,AbstractFileRepository,18,205,0,8,6,50,0,22,0,18
rms-coverage/rms-application,io.extact.rms.application.persistence.file,RentalItemFileRepository,0,29,0,0,0,7,0,3,0,3
rms-coverage/rms-application,io.extact.rms.application.persistence.file,UserAccountFileRepository,0,62,0,0,0,13,0,6,0,6
rms-coverage/rms-application,io.extact.rms.application.domain.constraint,BeforeAfterDateTime.BeforeAfterDateTimeValidator,0,17,0,4,0,4,0,4,0,2
rms-coverage/rms-application,io.extact.rms.application,RentalReservationApplicationImpl,19,336,2,16,5,79,2,34,1,26
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,RentalItemJpaRepository,0,24,0,0,0,9,0,4,0,4
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,JpaCrudRepository,0,62,0,4,0,15,0,7,0,5
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,UserAccountJpaRepository,0,43,0,0,0,16,0,5,0,5
rms-coverage/rms-application,io.extact.rms.application.persistence.jpa,ReservationJpaRepository,0,107,0,0,0,26,0,11,0,11
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,UserClaimsFactoryProducers,0,7,0,0,0,2,0,2,0,2
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,UserDtoClaimsFactory,0,12,0,0,0,3,0,3,0,3
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,LoginUserRequestFilter,0,34,0,2,0,12,0,5,0,4
rms-coverage/rms-server,io.extact.rms.external.webapi.jwt,UserClaimsAdaptor,0,21,0,0,0,6,0,4,0,4
rms-coverage/rms-server,io.extact.rms.external.webapi,ManagementResource,47,0,2,0,16,0,5,0,4,0
rms-coverage/rms-server,io.extact.rms.external.webapi,WebApiMain,38,0,0,0,18,0,4,0,4,0
rms-coverage/rms-server,io.extact.rms.external.webapi,ApplicationConfig,0,18,0,0,0,4,0,3,0,3
rms-coverage/rms-server,io.extact.rms.external.webapi,RentalReservationResource,7,202,0,0,1,58,1,23,1,23
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers.BusinessFlowExceptionMapper,8,42,1,3,1,15,1,4,0,2
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers.RmsSystemExceptionMapper,24,3,0,0,7,1,1,1,1,1
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,GenericErrorInfo,0,26,0,0,0,12,0,6,0,6
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers.ConstraintExceptionMapper,0,48,0,0,0,13,0,3,0,3
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMappers,3,4,0,0,1,1,1,1,1,1
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ValidationErrorInfo,0,18,0,0,0,6,0,4,0,4
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ValidationErrorInfo.ValidationErrorItem,0,26,0,0,0,5,0,6,0,6
rms-coverage/rms-server,io.extact.rms.external.webapi.mapper,ServerExceptionMapperFeature,0,25,0,0,0,7,0,2,0,2
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,AddRentalItemDto,0,23,0,0,0,5,0,6,0,6
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,UserAccountResourceDto,2,111,1,1,1,23,1,18,0,18
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,RentalItemResourceDto,2,56,1,1,1,13,1,10,0,10
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,LoginDto,0,32,0,0,0,5,0,7,0,7
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,ReservationResourceDto,12,137,5,5,3,28,5,20,0,20
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,AddReservationDto,0,50,0,0,0,8,0,12,0,12
rms-coverage/rms-server,io.extact.rms.external.webapi.dto,AddUserAccountDto,0,59,0,0,0,9,0,14,0,14
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,MemberMainScreen,20,0,0,0,5,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,ReserveRentalItemScreen,130,0,4,0,40,0,6,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,MemberMainScreen.MemberMenuList,81,0,0,0,8,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,CancelReservationScreen,92,0,6,0,33,0,7,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.member,InquiryReservationScreen,110,0,4,0,33,0,7,0,5,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,LocalDateTimeInputReader,61,0,2,0,16,0,7,0,6,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,RmsStringInputReader.PatternMessage,46,0,0,0,9,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,RmsStringInputReader,155,0,28,0,33,0,27,0,13,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,TextIoUtils,151,0,6,0,39,0,25,0,22,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,LocalDateInputReader,25,0,0,0,7,0,3,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.textio,RmsIntInputReader,46,0,2,0,11,0,7,0,6,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console,ConsoleMain,96,0,0,0,35,0,5,0,5,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,EntryRentalItemScreen,83,0,4,0,28,0,5,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,EditUserScreen,198,0,4,0,60,0,7,0,5,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,AdminMainScreen.AdminMenuList,81,0,0,0,8,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,EntryUserScreen,167,0,4,0,49,0,5,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,AdminMainScreen,20,0,0,0,5,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,DtoFormatter.ReservationFormatter,44,0,0,0,8,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,ScreenController,116,0,2,0,19,0,4,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,ClientConstants,43,0,0,0,13,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,EndScreen,5,0,0,0,2,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,DtoFormatter.UserAccountFormatter,33,0,0,0,7,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,LoginScreen,94,0,6,0,25,0,5,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,TransitionMap.Transition,104,0,0,0,11,0,1,0,1,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,TransitionMap,28,0,0,0,6,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,DtoFormatter.RentalItemFormatter,23,0,0,0,5,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.login,LoginEventReciever,37,0,0,0,12,0,7,0,7,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.login,LoggedInAuditLog,14,0,0,0,4,0,3,0,3,0
